"P1_S1","P1_S2","P1_S3","P1_S4","P2_S1","P2_S2","P2_S3","P2_S4","P3_S1","P3_S2","P3_S3","P3_S4"
0.825,0.673,0.311,0.171,0.825,0.673,0.311,0.171,0.0,0.453,0.2057,0.0
0.869,0.68,0.314,0.167,0.869,0.68,0.314,0.167,0.0,0.4838,0.1075,0.0
0.945,0.665,0.314,0.159,0.945,0.665,0.314,0.159,0.0008,0.4838,0.0427,0.0
0.969,0.646,0.314,0.154,0.969,0.646,0.314,0.154,0.0039,0.434,0.0088,0.0
0.959,0.612,0.319,0.154,0.959,0.612,0.319,0.154,0.0209,0.356,0.0006,0.0
0.978,0.559,0.324,0.152,0.978,0.559,0.324,0.152,0.0435,0.2583,0.0,0.0
0.989,0.459,0.343,0.152,0.989,0.459,0.343,0.152,0.0864,0.1544,0.0,0.0
0.982,0.403,0.343,0.147,0.982,0.403,0.343,0.147,0.1088,0.0559,0.0,0.0028
0.957,0.374,0.337,0.155,0.957,0.374,0.337,0.155,0.1145,0.0079,0.0,0.0348
0.924,0.367,0.331,0.171,0.924,0.367,0.331,0.171,0.0908,0.0,0.0,0.1101
0.891,0.382,0.318,0.199,0.891,0.382,0.318,0.199,0.0435,0.0,0.0,0.1897
0.846,0.398,0.307,0.213,0.846,0.398,0.307,0.213,0.0089,0.0,0.0038,0.2496
0.803,0.404,0.295,0.212,0.803,0.404,0.295,0.212,0.0,0.0,0.0239,0.3126
0.779,0.403,0.302,0.196,0.779,0.403,0.302,0.196,0.0,0.0,0.0649,0.3247
0.769,0.403,0.321,0.174,0.769,0.403,0.321,0.174,0.0,0.0,0.1124,0.3136
0.766,0.402,0.331,0.158,0.766,0.402,0.331,0.158,0.0,0.0,0.1491,0.2726
0.773,0.398,0.335,0.153,0.773,0.398,0.335,0.153,0.0,0.0,0.1869,0.1781
0.787,0.393,0.337,0.149,0.787,0.393,0.337,0.149,0.0,0.0,0.2218,0.0812
0.803,0.386,0.337,0.147,0.803,0.386,0.337,0.147,0.0,0.0047,0.2795,0.0186
0.811,0.396,0.338,0.13,0.811,0.396,0.338,0.13,0.0,0.0441,0.326,0.0014
0.821,0.412,0.33,0.12,0.821,0.412,0.33,0.12,0.0,0.1124,0.3273,0.0
0.821,0.451,0.324,0.113,0.821,0.451,0.324,0.113,0.0,0.2008,0.3521,0.0
0.822,0.494,0.307,0.105,0.822,0.494,0.307,0.105,0.0,0.2941,0.2849,0.0
0.795,0.545,0.279,0.099,0.795,0.545,0.279,0.099,0.0,0.378,0.2271,0.0
0.778,0.605,0.244,0.113,0.778,0.605,0.244,0.113,0.0,0.386,0.1709,0.0
0.779,0.661,0.195,0.111,0.779,0.661,0.195,0.111,0.0,0.3322,0.1049,0.0
0.776,0.681,0.153,0.104,0.776,0.681,0.153,0.104,0.0013,0.2779,0.0432,0.0
0.759,0.671,0.129,0.091,0.759,0.671,0.129,0.091,0.0064,0.2351,0.0092,0.0
0.753,0.619,0.119,0.089,0.753,0.619,0.119,0.089,0.0393,0.1876,0.0007,0.0
