"P_S1","P_S2","P_S3","P_S4"
41760.0,25536.0,20178.0,37187.0
44654.0,23132.0,23985.0,36916.0
43836.0,23199.0,28679.0,36757.0
41697.0,23239.0,31870.0,36470.0
39215.0,22936.0,33170.0,36824.0
36111.0,23017.0,33444.0,38020.0
32454.0,24278.0,33658.0,41104.0
28882.0,29394.0,33648.0,45333.0
28375.0,35256.0,33019.0,44628.0
28189.0,36088.0,32617.0,42268.0
27279.0,35551.0,32771.0,39196.0
26524.0,34738.0,33814.0,35609.0
26068.0,34516.0,34929.0,31534.0
27341.0,34388.0,34846.0,27927.0
33320.0,34039.0,33953.0,26810.0
40706.0,34093.0,32808.0,25992.0
42368.0,34412.0,32113.0,24814.0
42815.0,36306.0,29028.0,24078.0
42467.0,37612.0,25039.0,23896.0
42427.0,37545.0,22461.0,25569.0
42591.0,37140.0,21421.0,30520.0
42552.0,37110.0,20808.0,35270.0
42726.0,35780.0,20454.0,38273.0
43405.0,31184.0,20453.0,39138.0
46681.0,26698.0,21067.0,38650.0
50113.0,24193.0,24573.0,38140.0
49240.0,24123.0,29109.0,38105.0
46865.0,23858.0,32218.0,37952.0
43869.0,23297.0,33341.0,38217.0
39907.0,23102.0,33402.0,39162.0
35533.0,24262.0,33542.0,42038.0
31470.0,29198.0,33373.0,45596.0
30721.0,34553.0,32744.0,44811.0
30498.0,34939.0,32134.0,42397.0
29735.0,34394.0,31974.0,39479.0
28963.0,33863.0,33002.0,35981.0
28236.0,33688.0,33902.0,32058.0
29621.0,33547.0,33822.0,28329.0
35456.0,32705.0,33221.0,27017.0
42480.0,32450.0,32459.0,26073.0
43950.0,32422.0,32376.0,24994.0
44442.0,34367.0,29856.0,24228.0
44238.0,35995.0,25726.0,24347.0
43859.0,36332.0,22864.0,26017.0
43854.0,36565.0,21824.0,30867.0
43634.0,37289.0,21186.0,35815.0
43709.0,36243.0,20861.0,38708.0
44325.0,31824.0,20847.0,39471.0
47271.0,27175.0,21480.0,39140.0
50320.0,24301.0,25044.0,39038.0
49192.0,24128.0,29278.0,38770.0
46859.0,23856.0,31782.0,38213.0
43638.0,23188.0,32347.0,38005.0
39361.0,23043.0,32386.0,38716.0
34764.0,24137.0,32912.0,41316.0
30452.0,29024.0,32934.0,45496.0
29438.0,35252.0,32155.0,44764.0
28922.0,36698.0,31678.0,42286.0
27910.0,37033.0,31711.0,39092.0
27001.0,36463.0,32735.0,35465.0
26104.0,35965.0,33922.0,31485.0
27270.0,35354.0,34018.0,27711.0
33021.0,34298.0,33336.0,26150.0
39991.0,33482.0,32648.0,24918.0
41812.0,33247.0,32427.0,23587.0
42514.0,34751.0,29959.0,22688.0
42950.0,35895.0,26007.0,22559.0
42985.0,36139.0,23204.0,24015.0
42808.0,36254.0,22109.0,28595.0
42112.0,36661.0,21342.0,33022.0
41995.0,35935.0,20945.0,36020.0
42611.0,31981.0,20989.0,37613.0
45532.0,27516.0,21553.0,37954.0
49214.0,24594.0,25125.0,38325.0
48631.0,24437.0,29470.0,38768.0
46509.0,24354.0,31992.0,38715.0
43626.0,23645.0,32667.0,38818.0
39376.0,23449.0,32632.0,39539.0
34985.0,24505.0,32738.0,42440.0
30880.0,29350.0,32396.0,45993.0
30000.0,35042.0,31831.0,45338.0
29698.0,35786.0,31407.0,43017.0
28918.0,35743.0,31238.0,40130.0
28188.0,35651.0,32080.0,36381.0
27585.0,35784.0,32949.0,32424.0
28995.0,35504.0,33175.0,28916.0
35055.0,34866.0,32856.0,27443.0
42005.0,34214.0,32152.0,26340.0
43632.0,34246.0,32374.0,25016.0
44494.0,35710.0,30019.0,24123.0
44514.0,36281.0,26007.0,23870.0
44504.0,36578.0,23209.0,25289.0
44822.0,36493.0,22089.0,29857.0
44955.0,36888.0,21406.0,34422.0
44945.0,36548.0,21026.0,37809.0
45709.0,32546.0,21020.0,39135.0
48325.0,28163.0,21531.0,39114.0
50732.0,25263.0,25073.0,38961.0
50331.0,25180.0,29194.0,38470.0
48558.0,25122.0,31361.0,37778.0
45607.0,24495.0,31699.0,37566.0
